!GoldSim Version: 15.0.0257
!Model File: C:\Users\Pablo Sanhueza\Desktop\01_projects\MLP\31-PAO_FA_2028\02_model\A3\C1.2.1_MBIO V17_CD2024_Est_RU+V5+PA65+EVU+AC_E0_Calib_Esc2.1.1_Recirculacion_2025_PAO_FA_2028_volini.gsm
!Simulation Time: 29/07/2025 11:16
!Export Time: 29/07/2025 11:24
!Result Name: Resultados_anual
!Result Path: \Resultados_y_Dashboard\Resultados_2025
!Result Description: (none)
!Reporting Period: Anual
!Time Points: 36
!Realizations: 5
!Weights:	1	1	1	1	1

!Result: PPlant_from_RajoPel_med_sim
!Unit: l/s
(Periods)	#1	#2	#3	#4	#5
"2017"	103.4978	103.4978	103.4978	103.4978	103.4978	
"2018"	93.80768	93.80768	93.80768	93.80768	93.80768	
"2019"	61.51492	61.51492	61.51492	61.51492	61.51492	
"2020"	94.72995	94.72995	94.72995	94.72995	94.72995	
"2021"	87.46927	87.46927	87.46927	87.46927	87.46927	
"2022"	52.54271	52.54271	52.54271	52.54271	52.54271	
"2023"	62.83206	62.83206	62.83206	62.83206	62.83206	
"2024"	64.75590	64.75590	64.75590	64.75590	64.75590	
"2025"	70.54585	70.54585	70.54585	70.54585	70.54585	
"2026"	58.82530	58.82530	58.82530	58.82530	58.82530	
"2027"	50.48886	50.48886	50.48886	50.48886	50.48886	
"2028"	44.18862	44.18862	44.18862	44.18862	44.18862	
"2029"	42.93549	42.93549	42.93549	42.93549	42.93549	
"2030"	41.93658	41.93658	41.93658	41.93658	41.93658	
"2031"	41.99370	41.99370	41.99370	41.99370	41.99370	
"2032"	41.72014	41.72014	41.72014	41.72014	41.72014	
"2033"	41.71586	41.71586	41.71586	41.71586	41.71586	
"2034"	41.71586	41.71586	41.71586	41.71586	41.71586	
"2035"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2036"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2037"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2038"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2039"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2040"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2041"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2042"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2043"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2044"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2045"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2046"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2047"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2048"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2049"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2050"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2051"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2052"	0.000000	0.000000	0.000000	0.000000	0.000000	

!Result: TK128_from_Rajo_Pel
!Unit: l/s
(Periods)	#1	#2	#3	#4	#5
"2017"	59.25019	59.25019	59.25019	59.25019	59.25019	
"2018"	59.65260	59.65260	59.65260	59.65260	59.65260	
"2019"	55.63694	55.63694	55.63694	55.63694	55.63694	
"2020"	53.07349	53.07349	53.07349	53.07349	53.07349	
"2021"	49.56664	49.56664	49.56664	49.56664	49.56664	
"2022"	52.89161	52.89161	52.89161	52.89161	52.89161	
"2023"	60.54245	60.54245	60.54245	60.54245	60.54245	
"2024"	52.41120	52.41120	52.41120	52.41120	52.41120	
"2025"	59.26919	59.26919	59.26919	59.26919	59.26919	
"2026"	58.36711	58.36711	58.36711	58.36711	58.36711	
"2027"	61.52457	61.52457	61.52457	61.52457	61.52457	
"2028"	61.72369	61.72369	61.72369	61.72369	61.72369	
"2029"	58.79438	58.79438	58.79438	58.79438	58.79438	
"2030"	57.59083	57.59083	57.59083	57.59083	57.59083	
"2031"	57.67371	57.67371	57.67371	57.67371	57.67371	
"2032"	56.29389	56.29389	56.29389	56.29389	56.29389	
